title	description
Flock of Four	One night in 1959, four young musicians venture from Pasadena to South-Central Los Angeles in the hopes of hearing a living jazz legend play.
Hero	A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.
History of Joy	The life of a high-flying law student takes a drastic turn when a bout of misfortune changes his status in society for good.
Initial D	By day, an 18-year-old delivers tofu for his father, a retired race car driver
Invisible	After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed.
Kaaliyan	An aggressive, wayward fisherman abandons his wife and daughters, who grow up to face the consequences of their father's mistakes.
Kung Fu Magoo	Shortsighted curmudgeon Mr. Magoo and his young nephew, Justin, fight such nefarious foes as kung fu villains, robot spiders and teenage mutants.
Kuppivala	A young woman talented at traditional dance finds her life changed when her love for a man clashes with the wishes of her father.
Lechmi	The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer.
Little Dragon Maiden	Seeking to improve his combat skills, a young man falls in love with a woman with mystical powers, but his past stands in the way of their union.
Los tiempos de Pablo Escobar	Featuring never-before-seen images, personal testimonies and more, this is the story of one of the most notorious drug smugglers of all time.
Love In A Puff	When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.
Mahabharat	Two young brothers encounter a singing bird who treats them to a musical reinterpretation of one of India’s most epic ancient tales.
Mater	A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child.
Melle	After recovering from a tragic experience, a young woman makes a journey to her father's homeland and falls in love with a kind-hearted doctor.
Minnaminugu the FireFly	A nameless widow juggles multiple jobs to support her daughter’s decision to study abroad, only to discover that she has other plans.
Mythily Veendum Varunnu	After losing her father, a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow, her worst nightmares come true.
Once In A Lifetime Sessions with Moby	Through performances and interviews, musician Moby opens up about his unusual childhood, his heroes and the stories behind his songs.
Once In A Lifetime Sessions with Nile Rodgers	The career of rhythm guitarist and Chic founder Nile Rodgers is chronicled in this musical blend of documentary and original concert performance.
Once In A Lifetime Sessions with Noel Gallagher	Between scenes from an intimate performance, the Oasis legend reflects on his road to stardom and offers insights on his creative process.
Once In A Lifetime Sessions with TLC	One of the most successful female groups in music history, TLC performs in concert while taking a look back at their tumultuous history.
Oru Vishsheshapetta Biryani Kissa	When the village's biryani cook unexpectedly passes, a widow steps up to the plate and takes on new delectable challenges.
P Se PM Tak	A prostitute who is down on her luck gets caught in the middle of an elaborate scheme orchestrated by two local politicians.
R.L. Stine's Mostly Ghostly	After discovering a pair of young ghosts, a nebbish 11-year-old agrees to help the sibling spirits solve the mystery surrounding their demise.
Rangreza	A high-flying rock star and son of a politician falls for a woman from a qawwal family, leading to a love triangle that may consume everyone involved.
Sudani from Nigeria	When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences.
Switched	High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life.
The Could’ve-Gone-All-the-Way Committee	People bring their stories of missed lust connections to an objective panel of experts who then judge whether they could have gone all the way or not.
The Diabolical	Terrorized by unexplained disturbances and horrific visions in her home, a young widowed mother turns to her scientist boyfriend for help.
The Informant!	While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.
The Parole Officer	After witnessing a murder, Simon Garden is framed – and the only evidence that proves his innocence is a videotape locked inside a bank vault.
Tikli and Laxmi Bomb	Two frustrated sex workers cut out the middlemen from their business affairs and start a cooperative that's run entirely by women.
Flying Guillotine 2	The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties.
Reality of Dream	Five friends from college chase their post-grad dreams of becoming a successful writer, film director, singer, rich wife and out-and-proud hair stylist.
The Five Venoms	A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.
